ASPECT RATIOS FOR JACOBIAN
1.2472455013400665 #290, triangle 97
-0.9646130641606502 #291, triangle 97
2.0059385188633523 #292, triangle 98
1.9344420808354372 #293, triangle 98
-0.39934582908046273 #294, triangle 98
1.6212545807285035 #295, triangle 99
1.417166563884041 #296, triangle 99
-0.5149678086376187 #297, triangle 99
1.508292726320267 #298, triangle 100
3.1627850699688733 #299, triangle 100
-0.5105462730664903 #300, triangle 100
2.8222993628628874 #301, triangle 101
-0.6370406429962308 #302, triangle 101
-0.3810023281002941 #303, triangle 101
-0.38255850145723197 #304, triangle 102
2.097378355704688 #305, triangle 102
-0.01101029265751118 #306, triangle 102
39.8687861271624 #307, triangle 103
-0.7110215669215636 #308, triangle 103
5.664347826086908 #309, triangle 103
-0.49585530999811067 #310, triangle 104
2.366164438107713 #311, triangle 104
2.828980488352334 #312, triangle 104
-0.0007497456220099922 #313, triangle 105
1.1190303532580328 #314, triangle 105
-0.3785907958376081 #315, triangle 105
3.7228821694268293 #316, triangle 106
-0.46129541864141044 #317, triangle 106
2.6471612143550547 #318, triangle 106
4.774011392176499 #319, triangle 107
2.8879522511237403 #320, triangle 107
-0.7013111500538354 #321, triangle 107
1.6335052000704595 #322, triangle 108
-0.494996913984322 #323, triangle 108
-0.007196710075399125 #324, triangle 108
-0.6000073066103669 #325, triangle 109
2.7601431586189435 #326, triangle 109
3.4955707547990347 #327, triangle 109
3.4164191000652586 #328, triangle 110
2.1472652151101643 #329, triangle 110
-0.9031197904262902 #330, triangle 110
-0.29040580325977616 #331, triangle 111
9.021760311790205 #332, triangle 111
1.0777887818492615 #333, triangle 111
-0.7041129583238466 #334, triangle 112
3.904576273546203 #335, triangle 112
18.53321736803502 #336, triangle 112
-0.5482795817117178 #337, triangle 113
2.573195551412161 #338, triangle 113
3.1192913288408968 #339, triangle 113
1.9143442138835014 #340, triangle 114
1.6993363378781807 #341, triangle 114
-0.8516263377939899 #342, triangle 114
1.0427003746423271 #343, triangle 115
2.85885202464361 #344, triangle 115
-0.5799534429199098 #345, triangle 115
-0.4095605300591548 #346, triangle 116
2.127423744984162 #347, triangle 116
-0.2275422829240717 #348, triangle 116
2.0824911754751065 #349, triangle 117
-0.8366981360445036 #350, triangle 117
11.380350474000796 #351, triangle 117
-0.4759765592015043 #352, triangle 118
2.214189827474812 #353, triangle 118
-0.2069668311233303 #354, triangle 118
1.9248701973000744 #355, triangle 119
3.272429779111014 #356, triangle 119
-0.7702632816172915 #357, triangle 119
2.191642519444856 #358, triangle 120
-0.568765244682495 #359, triangle 120
31.974238875885533 #360, triangle 120
3.4190166305133705 #361, triangle 121
-0.8043580778925055 #362, triangle 121
-0.006033352917254568 #363, triangle 121
-0.21611362377699844 #364, triangle 122
1.1410363924050677 #365, triangle 122
1.3485750209555736 #366, triangle 122
1.3640945598803342 #367, triangle 123
10.259965960665705 #368, triangle 123
-0.32372295021271863 #369, triangle 123
1.5657954125805222 #370, triangle 124
9.128531663187175 #371, triangle 124
-0.37684858845708036 #372, triangle 124
6.271879889926108 #373, triangle 125
-0.525646584884811 #374, triangle 125
16.485512239347166 #375, triangle 125
7.233203833980859 #376, triangle 126
-0.4580758809047967 #377, triangle 126
18.674714053904637 #378, triangle 126
1.780283848614075 #379, triangle 127
8.127291784245719 #380, triangle 127
-0.43564960409851683 #381, triangle 127
5.021965538334431 #382, triangle 128
15.678981076093697 #383, triangle 128
-0.1753118324030036 #384, triangle 128
-0.829025142113745 #385, triangle 129
2.038489842338814 #386, triangle 129
-0.02125769558190764 #387, triangle 129
10.25759332251248 #388, triangle 130
-0.6021881428838607 #389, triangle 130
2.2321718460111977 #390, triangle 130
-0.8707525978887984 #391, triangle 131
3.2029794734747044 #392, triangle 131
7.301888876615543 #393, triangle 131
-0.6029318667405238 #394, triangle 132
3.036577309551052 #395, triangle 132
-0.10174746719248444 #396, triangle 132
2.997526737967903 #397, triangle 133
-0.8422842129665885 #398, triangle 133
4.707751091703348 #399, triangle 133
-0.5971711196286815 #400, triangle 134
2.3723452389113535 #401, triangle 134
4.976241627701177 #402, triangle 134
-0.47371602315187866 #403, triangle 135
1.9488608945216326 #404, triangle 135
3.739757939270569 #405, triangle 135
1.1909194676241477 #406, triangle 136
8.983387646093188 #407, triangle 136
-0.3135900558294899 #408, triangle 136
1.558467112998812 #409, triangle 137
6.710617335709068 #410, triangle 137
-0.42825965262648114 #411, triangle 137
12.153181124702174 #412, triangle 138
-0.08189424402246293 #413, triangle 138
-0.032244086975068385 #414, triangle 138
4.021694637740456 #415, triangle 139
-0.878768303186911 #416, triangle 139
9.509648845301959 #417, triangle 139
-0.8443457832783161 #418, triangle 140
3.4176053297143882 #419, triangle 140
5.874676425957239 #420, triangle 140
-0.7413759470036266 #421, triangle 141
3.06361414177545 #422, triangle 141
5.091941023707781 #423, triangle 141
3.1534756138356395 #424, triangle 142
-0.7606011062024126 #425, triangle 142
4.9921841076856195 #426, triangle 142
2.653351980715886 #427, triangle 143
5.1927395537881305 #428, triangle 143
-0.6726346748482273 #429, triangle 143
-0.42389557010744594 #430, triangle 144
1.8047187904197 #431, triangle 144
4.3221207227214276 #432, triangle 144
7.771341578728442 #433, triangle 145
-0.32484172968535424 #434, triangle 145
63.650055370988206 #435, triangle 145
1.325082338410874 #436, triangle 146
8.133402176199501 #437, triangle 146
-0.3310907827698017 #438, triangle 146
1.029131710329925 #439, triangle 147
9.5636134252714 #440, triangle 147
-0.24963084380560036 #441, triangle 147
8.01170772992288 #442, triangle 148
-0.24041130703366273 #443, triangle 148
-0.012258778867447766 #444, triangle 148
17.46815978001282 #445, triangle 149
16.671806069248298 #446, triangle 149
-0.06191987683092734 #447, triangle 149
5.305498563807953 #448, triangle 150
-0.3325599605579737 #449, triangle 150
12.887864440566931 #450, triangle 150
-0.760248222131631 #451, triangle 151
52.82090163934424 #452, triangle 151
7.452385222381655 #453, triangle 151
-0.26341739680847265 #454, triangle 152
12.016044820598502 #455, triangle 152
89.15861321776318 #456, triangle 152
-0.01911706849451675 #457, triangle 153
2.6275591425715468 #458, triangle 153
-0.11574807114522828 #459, triangle 153
3.5496102329988433 #460, triangle 154
-0.9748231793783264 #461, triangle 154
-0.7305731231276731 #462, triangle 154
2.8719641401793 #463, triangle 155
13.814634577950741 #464, triangle 155
-0.10746608121554856 #465, triangle 155
2.8689986659881934 #466, triangle 156
6.338664283269297 #467, triangle 156
-0.6371224726278725 #468, triangle 156
-0.07371337385530588 #469, triangle 157
17.5787048120658 #470, triangle 157
-0.013337718937587091 #471, triangle 157
6.511306376509537 #472, triangle 158
-0.5361318574884981 #473, triangle 158
14.09430481899938 #474, triangle 158
1.933148190646613 #475, triangle 159
11.708979773754734 #476, triangle 159
-0.3917145738408424 #477, triangle 159
6.002386872202821 #478, triangle 160
23.098213652796613 #479, triangle 160
-0.05114968862801037 #480, triangle 160
5.306598082174408 #481, triangle 161
-0.5939950096016235 #482, triangle 161
15.27672886124703 #483, triangle 161
4.837030373333961 #484, triangle 162
-0.6846915844845132 #485, triangle 162
12.264202203974493 #486, triangle 162
1.0175171082322367 #487, triangle 163
12.479286957370368 #488, triangle 163
-0.230256716803722 #489, triangle 163
-0.008632647889702747 #490, triangle 164
3.012388286131308 #491, triangle 164
-0.10675436185638328 #492, triangle 164
5.867906767348129 #493, triangle 165
-0.4600758509969984 #494, triangle 165
37.014597562609424 #495, triangle 165
-0.06476056949242971 #496, triangle 166
17.5128947368419 #497, triangle 166
-0.022053316761475844 #498, triangle 166
-0.15462967950444267 #499, triangle 167
10.244062438253618 #500, triangle 167
-0.023684469684538523 #501, triangle 167
2.1092599041062567 #502, triangle 168
-0.08638361594789612 #503, triangle 168
1.1202840038981101 #504, triangle 168
1.43851006405879 #505, triangle 169
-0.37663962951065494 #506, triangle 169
3.885307868298008 #507, triangle 169
8.152859582476617 #508, triangle 170
1.0774362387680407 #509, triangle 170
-0.3232560995578836 #510, triangle 170
-0.5513775856553169 #511, triangle 171
5.714542792655327 #512, triangle 171
25.027381299153458 #513, triangle 171
1.727685325264749 #514, triangle 172
-0.5102680125304536 #515, triangle 172
7.059233449477421 #516, triangle 172
3.8701242937853046 #517, triangle 173
2.5745878980239527 #518, triangle 173
-0.65299459972531 #519, triangle 173
-0.7667823394373022 #520, triangle 174
3.6891418339941233 #521, triangle 174
45.12903225806515 #522, triangle 174
3.0879306316363566 #523, triangle 175
