SKEWS FOR JACOBIAN
-0.7648931919084518 #340, triangle 114
-0.35689267370164357 #341, triangle 114
-0.10571599218712092 #342, triangle 114
2.517699637157481 #343, triangle 115
0.7287091373116419 #344, triangle 115
1.4408126361357132 #345, triangle 115
-0.9480109301252668 #346, triangle 116
-0.1938154165614362 #347, triangle 116
-1.2283767103044243 #348, triangle 116
1.2475161486545203 #349, triangle 117
0.6653888280394378 #350, triangle 117
1.0435160551062992 #351, triangle 117
-0.8957551736657441 #352, triangle 118
-0.10073087058121231 #353, triangle 118
-1.17624616284169 #354, triangle 118
0.04543094496366688 #355, triangle 119
-0.6644166666666702 #356, triangle 119
-0.5266807710390128 #357, triangle 119
-1.1280391911263374 #358, triangle 120
-0.8643608002712743 #359, triangle 120
-0.044354419860788835 #360, triangle 120
-0.6687686850529225 #361, triangle 121
-0.5345552397522968 #362, triangle 121
0.01255525251575352 #363, triangle 121
-0.2062885462555063 #364, triangle 122
-0.26249817996505526 #365, triangle 122
-0.22993425753894367 #366, triangle 122
-0.3153021112839812 #367, triangle 123
-0.2838463764429625 #368, triangle 123
-0.26103172493997634 #369, triangle 123
-0.3722004498397475 #370, triangle 124
-0.337330477141572 #371, triangle 124
-0.3122138566560898 #372, triangle 124
-0.5301851608893048 #373, triangle 125
-0.4968493255732165 #374, triangle 125
-0.5764054484500261 #375, triangle 125
-0.46231356902301 #376, triangle 126
-0.4338580065818 #377, triangle 126
-0.5017123940880005 #378, triangle 126
-0.4359926242616108 #379, triangle 127
-0.396788581269566 #380, triangle 127
-0.3687619390180483 #381, triangle 127
-0.035375537838521924 #382, triangle 128
0.051488560995603574 #383, triangle 128
-0.16925435876231845 #384, triangle 128
-0.5761187869735185 #385, triangle 129
-0.03808844189728365 #386, triangle 129
-0.7013871461825353 #387, triangle 129
1.3153262970120245 #388, triangle 130
0.9824556050527826 #389, triangle 130
1.2400315640299038 #390, triangle 130
-0.7576778955693193 #391, triangle 131
-0.9334111026787357 #392, triangle 131
-0.8289214641303119 #393, triangle 131
-0.9251267409725715 #394, triangle 132
-1.8520050045592515 #395, triangle 132
-1.24134845875956 #396, triangle 132
1.259634831460683 #397, triangle 133
0.9788956127079786 #398, triangle 133
1.173095756256754 #399, triangle 133
-0.5234485388117641 #400, triangle 134
-0.13402344553369647 #401, triangle 134
-0.5869542534321136 #402, triangle 134
-0.4205639391179916 #403, triangle 135
-0.1093769842277711 #404, triangle 135
-0.4700467808703261 #405, triangle 135
0.006505092146236666 #406, triangle 136
-0.2554692763181222 #407, triangle 136
-0.22176085813719928 #408, triangle 136
-0.013773906366231468 #409, triangle 137
-0.35727048386592974 #410, triangle 137
-0.3108622306947463 #411, triangle 137
-0.10764554954796336 #412, triangle 138
-0.07805324242457001 #413, triangle 138
0.13956290631346713 #414, triangle 138
-0.8482951653944069 #415, triangle 139
-0.7854118552732849 #416, triangle 139
-0.3845498783455077 #417, triangle 139
-0.767014764133956 #418, triangle 140
-0.4119425081734589 #419, triangle 140
-0.8208588497948317 #420, triangle 140
-0.6765262565164472 #421, triangle 141
-0.3494425564895888 #422, triangle 141
-0.7256485560450346 #423, triangle 141
0.8465243861645099 #424, triangle 142
1.0867198427399025 #425, triangle 142
1.2492665435183652 #426, triangle 142
-0.24833992813935593 #427, triangle 143
-0.6133292789710929 #428, triangle 143
-0.5661165391729913 #429, triangle 143
-0.36137962609691116 #430, triangle 144
0.08208376075999944 #431, triangle 144
-0.43758750370453514 #432, triangle 144
-0.3412673112161836 #433, triangle 145
-0.30810674828620066 #434, triangle 145
-0.0670819713885423 #435, triangle 145
0.04721078633182745 #436, triangle 146
-0.2581232954011101 #437, triangle 146
-0.2213177396943028 #438, triangle 146
0.10909727431857727 #439, triangle 147
-0.17782736064484916 #440, triangle 147
-0.1433811064879045 #441, triangle 147
-0.2597055043340998 #442, triangle 148
-0.2197217120355603 #443, triangle 148
0.04740284181801288 #444, triangle 148
0.028588294996737238 #445, triangle 149
-0.04158158083243419 #446, triangle 149
