TAPERS FOR JACOBIAN
-0.083482380238794 0.162412311708081 #1489, triangle 497
1.4455049658197117 -0.23435899985086675 #1490, triangle 497
-0.3659047187959716 0.563183759433696 #1491, triangle 497
-0.3988044406490193 0.5329628636032594 #1492, triangle 498
-0.19524617996604549 0.17970648609112488 #1493, triangle 498
2.8852459016394416 -0.2193136588953225 #1494, triangle 498
-0.01634574240479717 0.07196029776672333 #1495, triangle 499
1.068754499639985 -0.29699248120297844 #1496, triangle 499
-0.34040544293251856 0.7632653061225194 #1497, triangle 499
-7.750000000000114 -0.21364758609064557 #1498, triangle 500
-0.43891402714932143 0.5226784419692921 #1499, triangle 500
-0.39325842696629354 0.1858703239847232 #1500, triangle 500
-4.152523774689068 -0.21290788658923493 #1501, triangle 501
-0.4475761814974735 0.5213757014921672 #1502, triangle 501
-0.4497047086991207 0.1866616899264645 #1503, triangle 501
0.01883820150968059 0.15543232961506256 #1504, triangle 502
0.9286779324055712 -0.2400997853454775 #1505, triangle 502
-0.3246894059182321 0.5759867726729044 #1506, triangle 502
0.34303458670060655 -0.3928371746288193 #1507, triangle 503
0.022651889005757524 -0.27870535396021945 #1508, triangle 503
0.3237712265963281 -0.1723393408702438 #1509, triangle 503
0.18968257935516286 -0.11022058514754388 #1510, triangle 504
0.5164389846059714 -0.3747178787182576 #1511, triangle 504
1.3147684987494888 -0.2943676533744754 #1512, triangle 504
0.33371991881705415 0.016928158546664043 #1513, triangle 505
0.332946971892178 -0.32559127602322224 #1514, triangle 505
-0.0008680555555322987 -0.34116635621149566 #1515, triangle 505
0.6496998172800836 -0.1868547832071693 #1516, triangle 506
-0.2675103001765797 0.4805775879601257 #1517, triangle 506
0.11878208532484288 0.21272696984841757 #1518, triangle 506
0.1451587174988217 -0.35479162378126616 #1519, triangle 507
-0.24822894016973898 -0.3125441920336503 #1520, triangle 507
-0.43089169413845313 0.043392703970935254 #1521, triangle 507
-0.1708310355067194 0.5947309293565627 #1522, triangle 508
0.2271864621224018 0.14556070699557766 #1523, triangle 508
0.4595814719021758 -0.2479177692971938 #1524, triangle 508
0.4867436489607399 -0.3701120762885995 #1525, triangle 509
0.8127243066883958 -0.2984775198831393 #1526, triangle 509
0.2086212075698378 -0.09599132227957624 #1527, triangle 509
0.37143711381302313 -0.08108192816397843 #1528, triangle 510
0.29728965354701503 -0.3650796572575106 #1529, triangle 510
-0.07144191840548896 -0.30303003681024815 #1530, triangle 510
-0.22884796813305613 0.2861760318249957 #1531, triangle 511
0.16890980982865456 0.38408026755851304 #1532, triangle 511
-0.4572380415686042 -0.09016003802884895 #1533, triangle 511
0.1758672699849193 0.1614530776993429 #1534, triangle 512
0.5394944707740881 -0.23515876668201757 #1535, triangle 512
-0.22275960170697293 0.5649218218898383 #1536, triangle 512
-0.22332950476319227 0.2556728552360267 #1537, triangle 513
0.17522555649225874 0.4212333470676956 #1538, triangle 513
-0.46507535147162904 -0.13532562729067957 #1539, triangle 513
0.4946772605386532 -0.39695249477143396 #1540, triangle 514
0.919140128886583 -0.2752563822823453 #1541, triangle 514
0.20342845176184488 -0.18799293702177564 #1542, triangle 514
-0.19206213842856132 0.9055804530665101 #1543, triangle 515
0.20778340263966683 0.02540385187142128 #1544, triangle 515
0.488013364889325 -0.32154355625056785 #1545, triangle 515
-0.2000000000000042 0.4692385065972428 #1546, triangle 516
0.2000000000000042 0.220441945503878 #1547, triangle 516
0.5 -0.17845710793200256 #1548, triangle 516
9.520488230166022 -0.21544207125172926 #1549, triangle 517
-0.4198663886417067 0.5258764232032795 #1550, triangle 517
-0.2882295691155203 0.1839378464493025 #1551, triangle 517
-0.32633545834249694 0.8727647122576168 #1552, triangle 518
0.015342597799024282 0.035164440184512896 #1553, triangle 518
0.9413300568269257 -0.31673171559475194 #1554, triangle 518
-0.36371146342320926 0.18309652051258207 #1555, triangle 519
-14.963741562199617 -0.21621812272538413 #1556, triangle 519
-0.43397520308447746 0.5272761785579984 #1557, triangle 519
0.5403017633157606 -0.3333149369463934 #1558, triangle 520
-0.22317764825801722 0.9998344644925002 #1559, triangle 520
0.17539673732105235 0.00004138901536111018 #1560, triangle 520
-0.48414651642736556 -0.49467316022007074 #1561, triangle 521
-0.21034299651693408 -0.9190809895588442 #1562, triangle 521
-0.7810547172687067 -0.2034311098259268 #1563, triangle 521
-0.21081070912947142 -0.9197680487097735 #1564, triangle 522
-0.7727290702732629 -0.20340024378735472 #1565, triangle 522
-0.48344386123610644 -0.4947207765449252 #1566, triangle 522
-0.7328580385636877 -0.20330678852422926 #1567, triangle 523
-0.47995720821669935 -0.49486498122058675 #1568, triangle 523
-0.21314350580140826 -0.9218525840158103 #1569, triangle 523
-0.21246107966448421 -0.9212117049045193 #1570, triangle 524
-0.7442451793049041 -0.2033354901091232 #1571, triangle 524
-0.4809740942625251 -0.4948206883472256 #1572, triangle 524
-0.720409652945209 -0.20404468385770946 #1573, triangle 525
-0.4788254844675537 -0.4937277488590936 #1574, triangle 525
-0.21390500811308902 -0.9055670533209648 #1575, triangle 525
0.16948077802191144 0.44830075187974416 #1576, triangle 526
-0.45793085504277353 -0.1613121026275576 #1577, triangle 526
-0.2283557345828688 0.23527601067098572 #1578, triangle 526
0.016043941729445687 -0.21091097544590257 #1579, triangle 527
-0.32600678127416527 -0.48329338609227446 #1580, triangle 527
-0.34074129764679345 -0.7709591482664829 #1581, triangle 527
-0.3171104274954896 0.5997217875151759 #1582, triangle 528
0.03440827958601511 0.14299913032676062 #1583, triangle 528
0.8752447248205286 -0.2498912570682995 #1584, triangle 528
#The minimum x value is -14.963741562199617, which is in quad 1556 {(0.6727000000000001, -0.375007)(0.711493, -0.407767)(0.7089065, -0.40173349999999997)(0.6839066666666667, -0.3819046666666666)}, which is in triangle 519 {(0.711493, -0.407767)(0.70632, -0.3957)(0.633907, -0.342247)}
#The maximum x value is 11.037709497204292, which is in quad 1443 {(0.7962670000000001, -0.50978)(0.833907, -0.522713)(0.8318935, -0.51984)(0.8074713333333333, -0.5121756666666667)}, which is in triangle 481 {(0.82988, -0.516967)(0.758627, -0.496847)(0.833907, -0.522713)}
#The minimum y value is -230.20000000873966, which is in quad 950 {(0.568391, -0.6422466666666667)(0.56868, -0.6422464999999999)(0.56724, -0.6365)(0.5675265, -0.6393735)}, which is in triangle 317 {(0.56724, -0.6365)(0.567813, -0.642247)(0.57012, -0.647993)}
#The maximum y value is 21.04651162791582, which is in quad 836 {(0.5879336666666667, -0.6711710000000001)(0.5908070000000001, -0.6712665)(0.575867, -0.66006)(0.579027, -0.66552)}, which is in triangle 279 {(0.575867, -0.66006)(0.582187, -0.67098)(0.605747, -0.682473)}
#The mean average for x is 0.008030914210698155
#The mean average for y is -0.16242310572581542

