TAPERS FOR JACOBIAN
0.14532510678689498 0.03724078650478332 #323, triangle 108
-0.24810020876827285 -1.1676988581381946 #324, triangle 108
-0.48890101591396423 0.4773793770803322 #325, triangle 109
0.19266881789922602 1.529670704657907 #326, triangle 109
-0.20719923484665706 0.7048376055373854 #327, triangle 109
-0.24377518557793804 -1.4985146003912615 #328, triangle 110
0.584601259181529 0.36835514561031685 #329, triangle 110
0.15084543939033498 0.09071251516269088 #330, triangle 110
0.15398201669877606 0.21696241283519663 #331, triangle 111
-0.24127006983943813 -3.4858720363756706 #332, triangle 111
0.5786930258100033 0.40415255648698023 #333, triangle 111
0.45075529328651365 -0.4924081156757625 #334, triangle 112
0.47206482242054276 -0.20490347793221078 #335, triangle 112
0.23349601395667366 -0.8871010114278225 #336, triangle 112
-0.49070903373591934 0.4786240328143937 #337, triangle 113
0.193894960793733 1.4880800340570455 #338, triangle 113
-0.20601326121754257 0.7182181259600566 #339, triangle 113
0.15011028497890416 -0.6961568109239075 #340, triangle 114
-0.2443572843346804 -0.09837982771407315 #341, triangle 114
-0.4360134949716665 0.28103356116866923 #342, triangle 114
-0.16932652880616123 -0.8536488761263518 #343, triangle 115
0.4577433880065674 0.3137239293106194 #344, triangle 115
0.22848884200721065 -0.04109893776764354 #345, triangle 115
0.34706696476099713 -0.4595281420593675 #346, triangle 116
0.03257849987371968 -0.2272241640836218 #347, triangle 116
0.3198769102383513 -0.5390181801938648 #348, triangle 116
-0.39976247718911795 2.34149184149212 #349, triangle 117
0.11081760195865527 -0.10018278353207555 #350, triangle 117
-0.2729236361720642 -0.6918752509703905 #351, triangle 117
0.35658961636210873 -0.44372178237258025 #352, triangle 118
0.05732610749264805 -0.23862666726545495 #353, triangle 118
0.3108609852360611 -0.4238151063473436 #354, triangle 118
0.28348909657319415 -0.2559005205945021 #355, triangle 119
0.2574999999999936 -0.2935642214344192 #356, triangle 119
0.418899858956278 -0.4209418012024301 #357, triangle 119
0.29597929105257287 -0.36806466371815566 #358, triangle 120
0.3729045955150523 -0.4347217846115119 #359, triangle 120
0.10454970395763237 -0.24532884085240197 #360, triangle 120
0.2596729695175253 -0.3216328140406224 #361, triangle 121
0.4161434299114899 -0.4263950701814473 #362, triangle 121
0.2702435813034837 -0.25167104769057047 #363, triangle 121
-0.48863436123348053 0.4377711659836574 #364, triangle 122
0.1924868957483986 8.730510585305906 #365, triangle 122
-0.20737458910961887 0.3862611721901448 #366, triangle 122
0.19221402962862713 3.404181184669098 #367, triangle 123
-0.20763731068460364 0.47806354009077573 #368, triangle 123
-0.4882351738659364 0.4515857423519525 #369, triangle 123
0.19057326282072615 2.716417910447692 #370, triangle 124
-0.2092096937725366 0.5198329853862179 #371, triangle 124
-0.4858541269042071 0.45712155108128216 #372, triangle 124
-0.2089119835164006 0.5813144121297139 #373, triangle 125
-0.48630388737429725 0.464557650057325 #374, triangle 125
0.19088493317025546 2.1255847688123213 #375, triangle 125
-0.20859531828060415 0.5860020699896538 #376, triangle 126
-0.4867828260925021 0.4650929841957234 #377, triangle 126
0.19121592696045736 2.0923338742233244 #378, triangle 126
0.1887748441630493 2.3275130233455426 #379, triangle 127
-0.2109187443205934 0.5562041441586725 #380, triangle 127
-0.48328172923157775 0.4616161334411853 #381, triangle 127
-0.23272589217919498 -0.20558631701872304 #382, triangle 128
-0.4518220433713399 0.19433456063035182 #383, triangle 128
0.16435807318585938 -0.491361858527094 #384, triangle 128
0.4237338102631602 -0.43472178461151373 #385, triangle 129
0.3077180384898425 -0.24532884085240197 #386, triangle 129
0.25372746860964995 -0.36806466371816315 #387, triangle 129
-0.2820573807046156 -19.46524064170668 #388, triangle 130
-0.15786904253370895 -0.14696056219039802 #389, triangle 130
-0.38888173151251304 -0.59202601140663 #390, triangle 130
-0.4675353531549505 0.46342705354187724 #391, triangle 131
0.17714509174904908 2.199165217391317 #392, triangle 131
-0.22161962205474836 0.5715350964406426 #393, triangle 131
-0.3894470982265464 0.4117059937554372 #394, triangle 132
0.09752528786818655 -4.983091263819731 #395, triangle 132
-0.28157601539551985 0.24973496071982546 #396, triangle 132
-0.3550561797752859 1.332014284335401 #397, triangle 133
0.04387291981844084 -0.05249984738415259 #398, triangle 133
-0.3122959738846287 -0.8185749696746342 #399, triangle 133
0.46913674389396215 -0.4474761901538588 #400, triangle 134
0.6226503050661608 -0.23587648170516728 #401, triangle 134
0.2205121707633403 -0.4490165447702873 #402, triangle 134
0.47194939508260736 -0.44734914385129576 #403, triangle 135
0.6495060066543099 -0.23596911347864327 #404, triangle 135
0.21857772692087613 -0.44814348269449517 #405, triangle 135
0.7323049303500904 -0.2513655608802865 #406, triangle 136
0.21317699426411368 -0.32374488520814254 #407, triangle 136
0.47990737228754693 -0.42679200441370113 #408, triangle 136
0.6688503347491224 -0.24779047208449984 #409, triangle 137
0.21724299503327044 -0.34937637564196533 #410, triangle 137
0.47390159767610657 -0.4314683153013934 #411, triangle 137
0.20761141271431918 -0.0770589652311163 #412, triangle 138
0.4882745068235838 -0.3636838027166822 #413, triangle 138
0.8320813938799064 -0.3043044254212092 #414, triangle 138
0.21755725190839978 -0.6028960294719599 #415, triangle 139
0.4734411085450313 -0.46698767301589994 #416, triangle 139
0.6642335766423468 -0.22199939055933962 #417, triangle 139
0.47710327312699935 -0.47007386912375015 #418, triangle 140
0.701906113133058 -0.21986614394940246 #419, triangle 140
0.21506791224416275 -0.6314689810350345 #420, triangle 140
0.4781319819083415 -0.467730469919186 #421, triangle 141
0.7128957252727528 -0.2214844510177876 #422, triangle 141
0.21437269438773904 -0.6096512318615119 #423, triangle 141
-0.8465243861645099 -0.31711042749549 #424, triangle 142
-0.043359921369966976 0.03440827958601925 #425, triangle 142
0.3125611213734398 0.8752447248205399 #426, triangle 142
0.7252694774184789 -0.22660130186795288 #427, triangle 143
0.213605763951651 -0.5462148016023864 #428, triangle 143
0.4792698370208702 -0.46041010831798546 #429, triangle 143
0.46313010301411633 -0.41400384532272466 #430, triangle 144
0.5689933544444906 -0.261370713431331 #431, triangle 144
0.22468907442796837 -0.260232838026239 #432, triangle 144
0.20837216772563785 -0.4130262112787919 #433, triangle 145
0.4871206653349607 -0.4420573937588234 #434, triangle 145
0.8174427983189674 -0.23985438856680613 #435, triangle 145
0.8221490325236721 -0.25890714202492976 #436, triangle 146
0.2081256465719922 -0.27485514313579235 #437, triangle 146
0.4874942102825392 -0.41711258000210005 #438, triangle 146
0.8279369842460579 -0.2780688661279541 #439, triangle 147
0.20782499522366923 -0.17516803341091286 #440, triangle 147
0.487950237464798 -0.39359313967584236 #441, triangle 147
0.21413438345472127 -0.27017114914425006 #442, triangle 148
0.4784852101452856 -0.4161281258780589 #443, triangle 148
0.7167121483014961 -0.25968507873031565 #444, triangle 148
0.2071584659838237 0.37484622621028374 #445, triangle 149
-0.511546726823687 -0.07668998707722867 #446, triangle 149
-0.1927110904891958 0.2942538914813232 #447, triangle 149
-0.7646696758309487 -0.33334622375188705 #448, triangle 150
-0.07144191840548896 -0.00002900484380330979 #449, triangle 150
1.5716421629705304 -0.33332044316401915 #450, triangle 150
-0.19592501366754703 -0.1952461799660441 #451, triangle 151
-1.1096974300544442 -0.2737169517884915 #452, triangle 151
