TAPERS FOR JACOBIAN
0.22786612864941397 0.35426360935134865 #296, triangle 99
0.45862117580715706 -0.05110421609782893 #297, triangle 99
-0.6418016664525117 0.3672349335019678 #298, triangle 100
0.21912274915902624 0.06475354433865468 #299, triangle 100
0.4711549482317286 0.3010722849116197 #300, triangle 100
0.4014181679396387 0.022559276428543315 #301, triangle 101
3.1492236403544416 1.107159133280855 #302, triangle 101
-0.20571318302354155 0.915482832705677 #303, triangle 101
0.024334342548323725 -0.36094674556213047 #304, triangle 102
0.34479965601031715 0.5906040268456375 #305, triangle 102
0.322060890850646 -16.42857142857126 #306, triangle 102
2.993063583814702 0.23332318443448702 #307, triangle 103
0.11102524471922079 -0.47378542973578974 #308, triangle 103
0.6668599033816338 0.4509944393272635 #309, triangle 103
0.5093718669630795 0.5284275301271016 #310, triangle 104
-0.8674424877654001 0.21685223084147048 #311, triangle 104
-1.1654562070126442 0.18240654682293087 #312, triangle 104
0.015369785251441179 -492.3571428644661 #313, triangle 105
0.3404184410294304 0.42873718015124584 #314, triangle 105
0.3263227319361153 -0.3342366319864586 #315, triangle 105
1.0687544996401743 0.22218103878942633 #316, triangle 106
0.01534259779904239 -0.6005340143951757 #317, triangle 106
0.9413300568267934 0.466725975206442 #318, triangle 106
-0.49050378371278924 0.20951902842917489 #319, triangle 107
0.23167757014114682 -0.7960061896691517 #320, triangle 107
0.4532788217797389 0.4853873276608319 #321, triangle 107
0.5951877313590515 0.3489175153436277 #322, triangle 108
-0.34708682838357946 0.03241251613144746 #323, triangle 108
-32.64835164832958 0.3181051299625686 #324, triangle 108
0.5116146262957203 0.5248710142605336 #325, triangle 109
-0.8401571834004763 0.2148811435528956 #326, triangle 109
-1.210254268260839 0.1845438432278503 #327, triangle 109
0.24377518557793804 1.4985146003912615 #328, triangle 110
0.584601259181529 0.36835514561031685 #329, triangle 110
0.1508454393903326 -0.09071251516269088 #330, triangle 110
-0.40091973244147483 0.11615625094849436 #331, triangle 111
0.24127006983943622 3.4858720363756706 #332, triangle 111
0.44014702196976335 0.6554425137300707 #333, triangle 111
0.5613242942531101 0.5078296515600097 #334, triangle 112
-0.47206482242055153 0.20490347793221078 #335, triangle 112
-3.5369639392522907 0.19503566580991719 #336, triangle 112
0.5096495820284335 0.5233745845990755 #337, triangle 113
-0.8639819325358783 0.21404078133610815 #338, triangle 113
-1.1708827871759568 0.18544843013755039 #339, triangle 113
-0.3756900421309578 0.3900852760054786 #340, triangle 114
0.2443572843346804 0.09837982771407315 #341, triangle 114
0.4360134949716665 0.28103356116866923 #342, triangle 114
0.16932652880615956 0.8536488761263498 #343, triangle 115
0.4577433880065674 0.3137239293106194 #344, triangle 115
0.22848884200721276 0.04109893776764354 #345, triangle 115
0.8938853852481439 0.5482892865164414 #346, triangle 116
-0.03257849987371968 0.2272241640836218 #347, triangle 116
1.1444299309572334 0.17078763003325562 #348, triangle 116
0.6673274986702835 0.27988297575926907 #349, triangle 117
-0.19905103575978697 -0.1671750181554088 #350, triangle 117
2.976443550703592 0.39144263536538126 #351, triangle 117
0.8363610559183203 0.5726276324455879 #352, triangle 118
-0.057326107492649 0.23862666726545495 #353, triangle 118
1.2769304671548907 0.15724458473659592 #354, triangle 118
-0.28348909657319415 0.2559005205945021 #355, triangle 119
0.2574999999999936 -0.2935642214344192 #356, triangle 119
0.418899858956278 0.42094180120243224 #357, triangle 119
0.29597929105257287 -0.36806466371815566 #358, triangle 120
0.758524516419226 0.5883466662118175 #359, triangle 120
0.07372006152494973 -13.12997658079924 #360, triangle 120
0.2596729695175253 -0.3216328140406224 #361, triangle 121
0.6261809903244192 0.604318292091229 #362, triangle 121
0.12986396709901804 37.65168539323181 #363, triangle 121
0.5119069595717183 0.5828519566494063 #364, triangle 122
-0.8367088607594982 0.24304048479133764 #365, triangle 122
-1.216261525565808 0.15176989775305344 #366, triangle 122
-0.8315774070822342 0.23289630512514858 #367, triangle 123
0.2076373106846039 -0.47806354009077573 #368, triangle 123
0.4882351738659364 0.4515857423519525 #369, triangle 123
-0.8017151532559192 0.2289308176100632 #370, triangle 124
0.2092096937725366 -0.5198329853862179 #371, triangle 124
0.4858541269042071 0.45712155108128216 #372, triangle 124
0.2089119835164006 -0.5813144121297139 #373, triangle 125
0.5144899357961139 0.5412970009845922 #374, triangle 125
0.19088493317025546 -2.1255847688123213 #375, triangle 125
0.20859531828060443 -0.5860020699896538 #376, triangle 126
0.5139549541299251 0.5405720064915235 #377, triangle 126
0.1912159269604571 -2.0923338742233244 #378, triangle 126
