TAPERS FOR SHAPE PARAMETERS
0.0010444610604480099 0.005648340006698402 #380, triangle 127
0.004413889131611567 0.004568241873593486 #381, triangle 127
0.001387938847680326 0.006589119040651806 #382, triangle 128
0.00469527416721502 0.005598656497377839 #383, triangle 128
0.002326721383463701 0.00613224207064047 #384, triangle 128
0.0011071434200796086 0.001223354450893978 #385, triangle 129
0.0014116007486961873 0.00046745328896627056 #386, triangle 129
0.00034198171355271864 0.0014703350463939101 #387, triangle 129
0.00009061108609602842 0.0011578122527739992 #388, triangle 130
0.0009861367628031092 0.0004785900830104631 #389, triangle 130
0.0006876380941647243 0.0010304114444727077 #390, triangle 130
0.003437878015278827 0.0034702707553054602 #391, triangle 131
0.0009637036308131339 0.00429970207156133 #392, triangle 131
0.000919135184750903 0.00431593519079932 #393, triangle 131
0.0008737563975708258 0.0007753611827079859 #394, triangle 132
0.0003034228365691399 0.001033886826415092 #395, triangle 132
0.00039104334445682183 0.0009836189153740308 #396, triangle 132
0.00018955812589991104 0.0005964171317741532 #397, triangle 133
0.0004099178234253482 0.0003854098428449725 #398, triangle 133
0.00021935064387792674 0.0005902575217213563 #399, triangle 133
0.0025517916469791372 0.002621147496447512 #400, triangle 134
0.003206453780107743 0.0007665325438897867 #401, triangle 134
0.0006730765522131461 0.0032412311452297716 #402, triangle 134
0.002653004515652052 0.002779717207151731 #403, triangle 135
0.003356485274009094 0.0008251628288518437 #404, triangle 135
0.0006501889319605452 0.0034199766284920097 #405, triangle 135
0.0038592622417458027 0.0009399886377536382 #406, triangle 136
0.0007051110052543434 0.003941814332621012 #407, triangle 136
0.0030419788850176693 0.0032068719694678277 #408, triangle 136
0.0034659492034133325 0.0008682698525759574 #409, triangle 137
0.0006617030338879975 0.0035411212819817283 #410, triangle 137
0.002733984362592876 0.0028839986442079912 #411, triangle 137
0.0008913917563216304 0.004757063737081481 #412, triangle 138
0.003716635268006057 0.003849464420846565 #413, triangle 138
0.00469057899050481 0.0010823371668429002 #414, triangle 138
0.0009185661531856767 0.004294628625129413 #415, triangle 139
0.003442011383627431 0.0034411666445306175 #416, triangle 139
0.004295051697449937 0.0009173785173984864 #417, triangle 139
0.0034590852967156024 0.0034633478442788893 #418, triangle 140
0.0043199334752490005 0.0009131564612732062 #419, triangle 140
0.0009070774622761607 0.0043220674718127345 #420, triangle 140
0.0034361678596957117 0.0034618800588365607 #421, triangle 141
0.004299325981131861 0.0009253952246056746 #422, triangle 141
0.0008887321466894393 0.004312198555336101 #423, triangle 141
0.0006157034681029588 0.00020399419213615815 #424, triangle 142
0.00041527115916439335 0.00040693734827999025 #425, triangle 142
0.00021423401178487285 0.0006136132428537723 #426, triangle 142
0.00432219634953829 0.0009439523321210157 #427, triangle 143
0.0008931460073655787 0.004340154564302425 #428, triangle 143
0.0034520529166898665 0.0034879171309740694 #429, triangle 143
0.0034639930734974185 0.0036287694457378737 #430, triangle 144
0.0043676443513901275 0.0011716878475092475 #431, triangle 144
0.0009667380891920306 0.004450479409952082 #432, triangle 144
0.0009007895546260103 0.004522952497902957 #433, triangle 145
0.0035818162352015894 0.003639547755651378 #434, triangle 145
0.004494055695745453 0.0009837476520005355 #435, triangle 145
0.004542878964551706 0.001013210600745224 #436, triangle 146
0.0009205466800833636 0.004575630940681052 #437, triangle 146
0.003619996846463066 0.0036854058010486533 #438, triangle 146
0.004602892799760688 0.0010475854385611635 #439, triangle 147
0.0009089997980864199 0.00465172510899925 #440, triangle 147
0.0036581446704295898 0.0037556758927746077 #441, triangle 147
0.0006750404594999774 0.003667614339714575 #442, triangle 148
0.0028332727102892796 0.0029846846010142813 #443, triangle 148
0.0035917721944691994 0.0008865777409293598 #444, triangle 148
0.0009086180945195407 0.005031065078436185 #445, triangle 149
0.0040839039809734065 0.003900576069134943 #446, triangle 149
0.001172392260378737 0.004939307091007758 #447, triangle 149
0.0005778646324353403 0.00020632102838417796 #448, triangle 150
0.00037847860216964717 0.00039620355301900323 #449, triangle 150
0.0005823029577399144 0.00018435391181192322 #450, triangle 150
0.001250223184285445 0.005387364022607635 #451, triangle 151
0.0054760124141633145 0.0009925953363459947 #452, triangle 151
0.004437225996834737 0.004260063519504299 #453, triangle 151
0.0014051921440875056 0.00511740792981553 #454, triangle 152
0.0009297398298765107 0.005295102637127801 #455, triangle 152
0.00435409288237396 0.003999715989944642 #456, triangle 152
0.005975605815015245 0.0010467855656759938 #457, triangle 153
0.00484764036107372 0.004630641387978969 #458, triangle 153
0.0013664009469595102 0.005867058801268574 #459, triangle 153
0.004563284116993735 0.004375998128117915 #460, triangle 154
0.0012806022004810133 0.005537104981776025 #461, triangle 154
0.005630799945491574 0.0010060398241186195 #462, triangle 154
0.0011269220061777142 0.004804917544188228 #463, triangle 155
0.0009043504256551137 0.004882697867554198 #464, triangle 155
0.0038017955384793013 0.00395717812227445 #465, triangle 155
0.008116017534982436 0.0016332735327660522 #466, triangle 156
0.001658274235363388 0.008107563687698521 #467, triangle 156
0.006500094023300517 0.006483192086221478 #468, triangle 156
0.002390724539706762 0.0026196399739270566 #469, triangle 157
0.003073469028904857 0.0008029737531198269 #470, triangle 157
0.0031879547482328184 0.00046331488764453734 #471, triangle 157
0.0016773584276515458 0.008079389549026619 #472, triangle 158
0.006492795564626991 0.0064552937745223915 #473, triangle 158
0.008098149221601132 0.0016221714140530069 #474, triangle 158
0.003933297319667598 0.007000280335361901 #475, triangle 159
0.006860717803779343 0.005481309349666338 #476, triangle 159
0.003014393236004831 0.0077229761197594666 #477, triangle 159
0.0012812334492493629 0.006863322558126916 #478, triangle 160
0.0015013896492965784 0.006788532756862295 #479, triangle 160
0.005537954879275015 0.005388442536714153 #480, triangle 160
0.0011349074007937854 0.0051028474297894625 #481, triangle 161
0.004157111609326452 0.004054986389286445 #482, triangle 161
0.005153951478104117 0.0009866693672211915 #483, triangle 161
0.0011476694383649563 0.005186603550470873 #484, triangle 162
0.004218852504130136 0.004124550109120708 #485, triangle 162
0.005233794815461819 0.0010109866821069804 #486, triangle 162
0.008082327810345109 0.0017238641423473245 #487, triangle 163
0.0015898690391792899 0.008127980245204027 #488, triangle 163
