SKEWS FOR JACOBIAN
0.07473552338529983 #595, triangle 199
-0.10020583832335547 #596, triangle 199
-0.022099767981436497 #597, triangle 199
-1.1840084434254137 #598, triangle 200
2.032033501930711 #599, triangle 200
-27.811662726555276 #600, triangle 200
3.0007062146893015 #601, triangle 201
1.278938356164385 #602, triangle 201
1.5438640973630922 #603, triangle 201
1.1410850148858476 #604, triangle 202
3.2890566663899934 #605, triangle 202
6.537204552086959 #606, triangle 202
-0.44061364091702415 #607, triangle 203
-0.664801928049282 #608, triangle 203
-0.5626889733840323 #609, triangle 203
-0.902948826093074 #610, triangle 204
0.2821116571116624 #611, triangle 204
-8.080324074074552 #612, triangle 204
-0.11835414707257871 #613, triangle 205
-0.5061127898933298 #614, triangle 205
-0.32586139175594847 #615, triangle 205
3.8867435063869293 #616, triangle 206
-2.441493988232262 #617, triangle 206
0.6160965496816362 #618, triangle 206
-0.094409397433079 #619, triangle 207
1.1391101680175233 #620, triangle 207
1.9073737453568602 #621, triangle 207
-2.091807818638528 #622, triangle 208
-0.3469021882415062 #623, triangle 208
1.3378554846198851 #624, triangle 208
-0.43307873016670795 #625, triangle 209
-0.6603349350032938 #626, triangle 209
-0.5596514353616451 #627, triangle 209
2.2784671415218534 #628, triangle 210
-0.3823332589783866 #629, triangle 210
0.8248942268322684 #630, triangle 210
2.3336761603375833 #631, triangle 211
1.4139416315049356 #632, triangle 211
1.6767229254570912 #633, triangle 211
0.3660970407237528 #634, triangle 212
-0.41768018353544073 #635, triangle 212
-0.317929638582286 #636, triangle 212
-1.4056273641199852 #637, triangle 213
0.327289632728966 #638, triangle 213
1.7158308751229268 #639, triangle 213
-0.6461372877302086 #640, triangle 214
-0.2938630999213232 #641, triangle 214
-1.007918552036204 #642, triangle 214
-0.16781532212763983 #643, triangle 215
-0.5215596986402223 #644, triangle 215
-0.48079687940213744 #645, triangle 215
-0.571081507177789 #646, triangle 216
-0.18586300327993394 #647, triangle 216
-0.9616235764020009 #648, triangle 216
-0.23747597078047122 #649, triangle 217
-0.519676581680831 #650, triangle 217
-0.48343127088374244 #651, triangle 217
-0.7247808661083771 #652, triangle 218
-0.23643206544657994 #653, triangle 218
-1.243641210600608 #654, triangle 218
-0.5581314854778715 #655, triangle 219
-0.6412431262466715 #656, triangle 219
-0.6047453221587231 #657, triangle 219
-0.7149668626514055 #658, triangle 220
-0.8174376887579623 #659, triangle 220
-0.7725186338208531 #660, triangle 220
-0.06703668551149147 #661, triangle 221
-0.4981807399353857 #662, triangle 221
-0.4325251651405058 #663, triangle 221
0.14231759656652637 #664, triangle 222
-0.7238842330929623 #665, triangle 222
-0.5978433739955876 #666, triangle 222
0.2168528259184076 #667, triangle 223
-0.4151383051745506 #668, triangle 223
-0.32220792200228643 #669, triangle 223
1.2989180028679579 #670, triangle 224
0.7479527342676687 #671, triangle 224
0.8591869319577434 #672, triangle 224
-0.28016524403589427 #673, triangle 225
-1.320887027491404 #674, triangle 225
-0.7580916873791779 #675, triangle 225
-0.1923365951676977 #676, triangle 226
-0.4157566000038794 #677, triangle 226
-0.387892675135013 #678, triangle 226
-0.48489215783715106 #679, triangle 227
1.2312098421078301 #680, triangle 227
3.8198355781010576 #681, triangle 227
-0.7435635078881955 #682, triangle 228
