TAPERS FOR SHAPE PARAMETERS
0.013219551951265899 0.011811012482090747 #482, triangle 161
0.013073883401855148 0.012078226697807504 #483, triangle 161
0.012358275881419755 0.012591707648324395 #484, triangle 162
0.01422188492933456 0.011350334118064392 #485, triangle 162
0.014298463395435276 0.011188834183213923 #486, triangle 162
0.013090592143739027 0.012004595841899657 #487, triangle 163
0.012538250735376195 0.012228433493873108 #488, triangle 163
0.013200039103904541 0.011803160814341147 #489, triangle 163
0.012210835828413895 0.011999880242603027 #490, triangle 164
0.012393997529119967 0.011886678592558046 #491, triangle 164
0.012316489153974737 0.012020201499249821 #492, triangle 164
0.012605320648447507 0.01369093519161527 #493, triangle 165
0.01411017054158748 0.01277967229562235 #494, triangle 165
0.014484552525940417 0.012061416806359564 #495, triangle 165
0.011462624789856976 0.011865628354516431 #496, triangle 166
0.01161218163758316 0.011887348604510376 #497, triangle 166
0.01135635974466149 0.012034723523437941 #498, triangle 166
0.012644044435081868 0.012552273694757757 #499, triangle 167
0.0124897030209416 0.01280721951803349 #500, triangle 167
0.012841027161842385 0.012431713621668686 #501, triangle 167
0.012357258172248314 0.011835057353322407 #502, triangle 168
0.012454628947941956 0.011663704159953013 #503, triangle 168
0.012133507442983192 0.011865052142661849 #504, triangle 168
0.012907142555396009 0.011759112151925561 #505, triangle 169
0.012639087477761374 0.011932535212872492 #506, triangle 169
0.01221177417051307 0.012652426766090918 #507, triangle 169
0.012450100162074516 0.011875762813497575 #508, triangle 170
0.012380190819384625 0.011919532876553552 #509, triangle 170
0.012280362220725812 0.012166754101163397 #510, triangle 170
0.012098912943868239 0.011980920211894897 #511, triangle 171
0.012349078065658076 0.011874734795124487 #512, triangle 171
0.01239214251285991 0.011799726613034855 #513, triangle 171
0.01155010478079213 0.012967884431130049 #514, triangle 172
0.01132818617035222 0.013290142619538191 #515, triangle 172
