TAPERS FOR JACOBIAN
-0.20509955118348436 -0.3329724205890603 #253, triangle 85
-0.4921074174545439 0.0008109561081385285 #254, triangle 85
0.1948345957075683 -0.3336944415704552 #255, triangle 85
-0.5533022814972198 -0.037250203789245415 #256, triangle 86
-0.16793735443323754 0.3156818161866064 #257, triangle 86
0.22968333031864627 0.35146492564904935 #258, triangle 86
-0.1750753047278858 0.3819295944378851 #259, triangle 87
0.22346269402502117 0.28803879038255276 #260, triangle 87
0.4648843668773765 -0.08711572122635211 #261, triangle 87
-0.18448523191230648 -0.3216604148131619 #262, triangle 88
-0.5249681534694906 0.02516261245198275 #263, triangle 88
0.21493546730874355 -0.345214279834175 #264, triangle 88
0.08587081615038372 0.5000000000000016 #265, triangle 89
-0.38106113229422195 -0.20000000000000148 #266, triangle 89
-0.2887941688079732 0.199999999999999 #267, triangle 89
0.2872839586192588 -0.26655835995732635 #268, triangle 90
-0.08835371766173329 -0.4075411435351156 #269, triangle 90
0.38279953986800996 0.12015591100283116 #270, triangle 90
0.2909765921763675 -0.11499515671486639 #271, triangle 91
-0.08223986937806077 -0.6580032743327605 #272, triangle 91
0.3785637970568118 0.27010638715222424 #273, triangle 91
0.31425819968139207 -0.26674425685577563 #274, triangle 92
-0.04005392343160019 -0.4073116294362039 #275, triangle 92
0.35297033462141514 0.11988824411420015 #276, triangle 92
-0.3013094248613559 0.19999999999999857 #277, triangle 93
0.06432859514989744 0.5000000000000022 #278, triangle 93
-0.3669731598955709 -0.20000000000000037 #279, triangle 93
-0.522239928993601 -0.08665275712219676 #280, triangle 94
-0.18613643508330963 0.28832013374992027 #281, triangle 94
0.21339916445120016 0.3816058859872631 #282, triangle 94
0.012945110385420846 0.5 #283, triangle 95
-0.3392659107559283 -0.1999999999999966 #284, triangle 95
-0.327453083467129 0.199999999999999 #285, triangle 95
0.203587138539095 -0.38405436701889883 #286, triangle 96
-0.19638040145733393 -0.2861983985687127 #287, triangle 96
-0.5056942682826278 0.09012369831696847 #288, triangle 96
0.22140248616746952 0.3622821541777206 #289, triangle 97
-0.5368961919248835 -0.05654158306780602 #290, triangle 97
-0.17738761044591142 0.3055892502259969 #291, triangle 97
-0.49442853497405365 -0.09966008715657639 #292, triangle 98
-0.20358973773449002 0.2802173964281117 #293, triangle 98
0.19637775499153384 0.3910475905020097 #294, triangle 98
-0.2195448253860468 -0.34515221584067896 #295, triangle 99
0.533394288929524 0.02503884689619658 #296, triangle 99
0.17945111362369986 -0.3217203299105054 #297, triangle 99
0.17529412102318004 -0.34122418596505105 #298, triangle 100
-0.22326869506617716 -0.3255347864775876 #299, triangle 100
-0.46516257894789054 0.01704816451379732 #300, triangle 100
0.48903018858381003 -0.004078064694884729 #301, triangle 101
-0.192756843730294 0.3351632187772504 #302, triangle 101
0.20711433074632907 0.3315084568617531 #303, triangle 101
-0.19760483267080664 -0.3447381103911821 #304, triangle 102
0.4962963609523255 0.024211106455081597 #305, triangle 102
0.20238091063081018 -0.3221203781564132 #306, triangle 102
-0.22216000695094576 -0.3367893660711209 #307, triangle 103
0.5383422977984201 0.007637497591054427 #308, triangle 103
0.1765403267429411 -0.3298951244392915 #309, triangle 103
-0.4503716659379128 0.01723815741255402 #310, triangle 104
0.1631119236238065 -0.3413158107670734 #311, triangle 104
-0.23377347963548417 -0.32544530491288914 #312, triangle 104
-0.5614472530405401 -0.00890245076618957 #313, triangle 105
-0.16337440844454024 0.329317097985954 #314, triangle 105
0.23355331640087787 0.33737391054423854 #315, triangle 105
0.19336358818865138 -0.35065471087145483 #316, triangle 106
-0.20652810384764514 -0.31645060398849406 #317, triangle 106
-0.48992317997723633 0.03572441962280209 #318, triangle 106
-0.17349726118737382 0.34847860913551637 #319, triangle 107
0.22485586740794147 0.3185244836991837 #320, triangle 107
0.4628921111113514 -0.031566901083488 #321, triangle 107
-0.20238096281871687 0.3585247972376536 #322, triangle 108
0.1976047798560157 0.3090591237411347 #323, triangle 108
0.503759415150403 -0.05006008761161343 #324, triangle 108
0.5403109339447167 0.02406372712963463 #325, triangle 109
0.17539139719019256 -0.3221914862167118 #326, triangle 109
-0.22318238740051163 -0.3446645565856341 #327, triangle 109
0.1869989898508206 -0.4116354679396473 #328, triangle 110
-0.21259174658627286 -0.26326137463965826 #329, triangle 110
-0.4807791901467999 0.12485403232614967 #330, triangle 110
0.040802830229255065 0.5 #331, triangle 111
-0.353376131269897 -0.1999999999999973 #332, triangle 111
-0.31387551895944676 0.19999999999999923 #333, triangle 111
0.3226750843200466 -0.14040756417970648 #334, triangle 112
-0.023059411709527237 -0.6048259997063302 #335, triangle 112
0.3441647482221994 0.2518654626801516 #336, triangle 112
0.3076586051365195 -0.25535777165268253 #337, triangle 113
-0.052694682274745004 -0.42163721179661373 #338, triangle 113
0.36003645460097544 0.13575044832069147 #339, triangle 113
0.3070341820217535 -0.13189222782645674 #340, triangle 114
-0.053861200927273464 -0.6219977609781249 #341, triangle 114
0.3607125602938601 0.2581983690271181 #342, triangle 114
-0.3063730648653292 0.2 #343, triangle 115
0.055090862401238554 0.5 #344, triangle 115
-0.36142983567036485 -0.2 #345, triangle 115
