TAPERS FOR SHAPE PARAMETERS
0.03234387133665157 0.04154800491006126 #240, triangle 80
0.04014981126778597 0.039256278354569414 #241, triangle 81
0.0369372837255241 0.041449038849866254 #242, triangle 81
0.0372957090291918 0.04091060803704419 #243, triangle 81
0.03728446301004964 0.03882479410270472 #244, triangle 82
0.03726406450075019 0.03885742016445267 #245, triangle 82
0.038287550929097296 0.038234557831850945 #246, triangle 82
0.052118630003056825 0.029290024409523857 #247, triangle 83
0.038356809826837514 0.04006207146282574 #248, triangle 83
0.027826742286607635 0.05259751286487489 #249, triangle 83
0.03778894373487306 0.038018192116611824 #250, triangle 84
0.03388847640144878 0.04016376717001435 #251, triangle 84
0.03398449398649768 0.040028321583295313 #252, triangle 84
0.036678819033102314 0.03861059971377754 #253, triangle 85
0.0372028068204712 0.03776581294628593 #254, triangle 85
0.03840508414510882 0.037036679599701056 #255, triangle 85
0.0394502633439019 0.03590478948986599 #256, triangle 86
0.03605963773689219 0.03936543075670107 #257, triangle 86
0.03742306758287911 0.037184086416985576 #258, triangle 86
0.04303448466446171 0.03828542724096115 #259, triangle 87
0.042472741956768395 0.0393170324503963 #260, triangle 87
0.041117531418457615 0.03952927051256693 #261, triangle 87
0.04170231901043267 0.0414611188607735 #262, triangle 88
0.04383720587857381 0.037611997596505915 #263, triangle 88
0.04369397811143471 0.0377118615401352 #264, triangle 88
0.03781256847530396 0.049542585982771045 #265, triangle 89
0.037905134274867275 0.049424552363846866 #266, triangle 89
0.04557655796976299 0.04537105153268287 #267, triangle 89
0.042774185970437584 0.03334000451042874 #268, triangle 90
0.03491050816389448 0.04201569204154547 #269, triangle 90
0.03857488479588327 0.03628390069722566 #270, triangle 90
0.03763875203244854 0.03750676768665436 #271, triangle 91
0.03676465413011234 0.03883991121106165 #272, triangle 91
0.03684886108781346 0.03879200227863806 #273, triangle 91
0.05004125535831582 0.04878065274761471 #274, triangle 92
0.04761437009684929 0.052674001297389715 #275, triangle 92
0.05311559183455179 0.0467896224351539 #276, triangle 92
0.029860610992764457 0.04051792492644709 #277, triangle 93
0.02895119225720873 0.04160340330538878 #278, triangle 93
0.03615176866754123 0.03807329588811898 #279, triangle 93
0.02698019688391225 0.049059685635314036 #280, triangle 94
0.03677511399319344 0.045079551500045674 #281, triangle 94
0.031350277219380225 0.04451971089574072 #282, triangle 94
0.028003942827131426 0.04583730223467149 #283, triangle 95
0.0316889559834902 0.04164664548782592 #284, triangle 95
0.03522256424553499 0.042745916123686306 #285, triangle 95
0.04586523752198881 0.03536317929105904 #286, triangle 96
0.04757778251450186 0.03136631137845591 #287, triangle 96
0.03610741026100563 0.041599031381592405 #288, triangle 96
0.05071103218460389 0.030745880550534944 #289, triangle 97
0.032925315615459264 0.04837695790330533 #290, triangle 97
0.04583136117744826 0.04159889061715619 #291, triangle 97
0.029775401558123794 0.05210784165350397 #292, triangle 98
0.034039929155673554 0.05051674790008962 #293, triangle 98
0.037537100693870014 0.04294719444693641 #294, triangle 98
0.03979512909431708 0.05470846229806351 #295, triangle 99
0.051349288794961194 0.04859174365002414 #296, triangle 99
0.03847473630622897 0.056260650458538126 #297, triangle 99
0.05074102590101968 0.049524734872634174 #298, triangle 100
0.03696415765127536 0.05680195381753855 #299, triangle 100
0.03757766730851661 0.056127014366415026 #300, triangle 100
0.045993560361532446 0.04377573738391435 #301, triangle 101
0.047992325532146114 0.04004025879973163 #302, triangle 101
0.04096195770417567 0.046677945037974726 #303, triangle 101
0.03637282907508227 0.04734462168005246 #304, triangle 102
0.047181671298482324 0.03672403192425807 #305, triangle 102
0.04064515394950786 0.04114733844293257 #306, triangle 102
0.03830855154220323 0.03810373188769293 #307, triangle 103
0.03731421174970068 0.03877204550216913 #308, triangle 103
0.03739277236393633 0.038645695769250414 #309, triangle 103
0.04900789124798377 0.04093051572177468 #310, triangle 104
0.036407625263564884 0.04817740189752559 #311, triangle 104
0.032451353124113465 0.052679250973916354 #312, triangle 104
0.03661517444547537 0.037733736327747944 #313, triangle 105
0.03719018336991027 0.03678455688048623 #314, triangle 105
0.037882544134134846 0.036358178973945526 #315, triangle 105
0.036241301016396166 0.04541906981899306 #316, triangle 106
0.03628669510060422 0.04535862284745089 #317, triangle 106
0.04225087861497909 0.04214685237558314 #318, triangle 106
0.036864689370337954 0.05501551949364709 #319, triangle 107
0.036877939161473805 0.055000717520586426 #320, triangle 107
0.049013224603544875 0.04898663750692906 #321, triangle 107
0.0361981960328747 0.045433177095556214 #322, triangle 108
0.04223412752356802 0.04216312944860391 #323, triangle 108
0.03622922041772205 0.045391943715381855 #324, triangle 108
0.036721633605382914 0.055022818204065474 #325, triangle 109
0.03676151284221227 0.05497841791816237 #326, triangle 109
0.0489979991350834 0.04891819069740815 #327, triangle 109
0.03711464194251865 0.054843801061487285 #328, triangle 110
0.03706653723298784 0.054897995910598955 #329, triangle 110
0.04891721936254858 0.04901438823823738 #330, triangle 110
0.042156884576992765 0.04215710533351581 #331, triangle 111
0.0362275368301968 0.04534404730032312 #332, triangle 111
0.03622763316319445 0.04534391902487479 #333, triangle 111
0.03763154523035823 0.05407113898434564 #334, triangle 112
0.03725405964520573 0.05450506213516032 #335, triangle 112
0.048270972195497815 0.04904557798994451 #336, triangle 112
0.03623298894655187 0.045250444703699516 #337, triangle 113
0.03607703411086103 0.04545764961833994 #338, triangle 113
0.0423185294772649 0.04196171679533931 #339, triangle 113
0.03660301593849613 0.05403616627423705 #340, triangle 114
0.03660723253372687 0.054031405395159805 #341, triangle 114
