TAPERS FOR JACOBIAN
0.49789119120949166 -0.009900879831263499 #347, triangle 116
-0.19864234588184615 0.33783778648461565 #348, triangle 116
0.5097898121644416 0.0012221050060323689 #349, triangle 117
0.19380727099920073 -0.3327890669684588 #350, triangle 117
-0.20609831595561223 -0.3338780444000757 #351, triangle 117
0.19944275432287317 -0.3325471535303947 #352, triangle 118
-0.20055647045024455 -0.33412044134890867 #353, triangle 118
0.500871607056632 0.001763704847376432 #354, triangle 118
-0.19952591291831517 0.3331884002332254 #355, triangle 119
0.2004735258504641 0.33347829794869815 #356, triangle 119
-0.5007414201233241 -0.00032592233673796913 #357, triangle 119
-0.20517352588572993 -0.33959009862814366 #358, triangle 120
0.5082708377926548 0.013630003321630004 #359, triangle 120
0.19475868390301002 -0.32713474272838367 #360, triangle 120
-0.19508132978949727 0.3313171798009538 #361, triangle 121
0.20485892162783886 0.33535560267392445 #362, triangle 121
-0.507756960826677 -0.004502305426642797 #363, triangle 121
0.19930378415182123 -0.3297593990199959 #364, triangle 122
-0.20069500616241617 -0.336926530422227 #365, triangle 122
0.5010892591868583 0.007935005251712628 #366, triangle 122
-0.19285429822709224 0.33010767756958675 #367, triangle 123
0.20702028953447546 0.33657467226247845 #368, triangle 123
-0.5113167834442703 -0.007170983749443332 #369, triangle 123
0.19853505003053937 -0.33092616106606104 #370, triangle 124
-0.20145960435108634 -0.335749228815514 #371, triangle 124
0.5022952889838965 0.005367684075440863 #372, triangle 124
-0.19871843558308372 0.33290749850716106 #373, triangle 125
0.2012774715118337 0.33375944033630833 #374, triangle 125
-0.5020072677318693 -0.000956600781660716 #375, triangle 125
-0.20067072281242487 -0.3242225068378055 #376, triangle 126
-0.49895331192602765 0.019822124839249475 #377, triangle 126
0.19932815062582068 -0.3425703957382098 #378, triangle 126
-0.19929173558602756 0.3332381897354408 #379, triangle 127
0.20070701253442597 0.3334284905116201 #380, triangle 127
-0.5011081347450924 -0.0002139967436821473 #381, triangle 127
-0.20364094304258468 -0.3306276494770504 #382, triangle 128
-0.4943496004638599 0.006026640487109443 #383, triangle 128
0.19632561135801083 -0.33605004302595254 #384, triangle 128
0.203190115065492 0.3362389255095643 #385, triangle 129
-0.5050551076812071 -0.006439354176661105 #386, triangle 129
-0.19678423830997216 0.33044034990213733 #387, triangle 129
-0.5009416316220613 -0.0006592740713127874 #388, triangle 130
-0.19939803595593636 0.33304000032355957 #389, triangle 130
0.20060105950354049 0.3336267954663031 #390, triangle 130
-0.20325100953068168 -0.3469621625458238 #391, triangle 131
0.5051529942884417 0.02861726190890546 #392, triangle 131
0.19672235130142493 -0.3199775398631467 #393, triangle 131
-0.5050948077462754 -0.0025838305905602197 #394, triangle 132
-0.19675913693150346 0.332179997474519 #395, triangle 132
0.2032148161213959 0.3344886679253686 #396, triangle 132
-0.20000160064477238 0.3333515275869956 #397, triangle 133
0.1999983993488213 0.3333151395762038 #398, triangle 133
0.500002501024972 -0.00004093316081155336 #399, triangle 133
0.1533333325186061 -0.3545774896116714 #400, triangle 134
-0.24179104542949917 -0.3127452419996439 #401, triangle 134
-0.4394463659040771 0.04300313382519928 #402, triangle 134
-0.2368422248307694 -0.3354873197956738 #403, triangle 135
0.568627716502481 0.004792276422939006 #404, triangle 135
0.15942014479673414 -0.3311862839439701 #405, triangle 135
-0.1667668212874936 0.3480367466384044 #406, triangle 136
0.2306838721921232 0.3189472077536472 #407, triangle 136
0.4546646924190658 -0.03071193592784461 #408, triangle 136
0.10590858912884508 -0.33408017795253636 #409, triangle 137
-0.27617328194817997 -0.33258732444321987 #410, triangle 137
-0.39585390319759134 0.0016738373868663366 #411, triangle 137
-0.47536764298755585 0.0001978991225110207 #412, triangle 138
0.1830674428951644 -0.3334213291322393 #413, triangle 138
-0.2162448883554844 -0.3332453491477854 #414, triangle 138
0.3873155079873585 0.03365713473553021 #415, triangle 139
0.2833948412793342 -0.31748562608750613 #416, triangle 139
-0.09463868293704931 -0.34956693871767347 #417, triangle 139
0.30702778555838234 -0.22008841733925238 #418, triangle 140
-0.05387312477755792 -0.46975119289698264 #419, triangle 140
0.3607194930057358 0.17884937626954214 #420, triangle 140
-0.33059323003201324 0.32044793213396694 #421, triangle 141
0.0061025266031286595 0.34647269342206916 #422, triangle 141
-0.3360847453644385 -0.02765581660202657 #423, triangle 141
-0.31237434966715083 0.295382484646917 #424, triangle 142
0.04372137945679221 0.37357498952741675 #425, triangle 142
-0.35497262328653045 -0.07475114878229137 #426, triangle 142
-0.4549431472897484 -0.049180929462186995 #427, triangle 143
-0.23048463583040465 0.30952349227165016 #428, triangle 143
0.1670004132045632 0.35802503254570056 #429, triangle 143
0.19412342936391544 -0.33668325874072236 #430, triangle 144
-0.20579148545270856 -0.3300001567652544 #431, triangle 144
-0.49104801391239095 0.007407063340804567 #432, triangle 144
-0.5083868015185204 -0.010875125418162344 #433, triangle 145
-0.1946859287016287 0.32841072087888207 #434, triangle 145
0.20524439852912074 0.33829256434630905 #435, triangle 145
-0.1909611173402419 -0.3348617488647167 #436, triangle 146
0.48641400551281594 0.0034115599690856834 #437, triangle 146
0.2088391427249977 -0.3318084138678435 #438, triangle 146
-0.20944424188453142 0.3394134228128957 #439, triangle 147
0.19032738174943206 0.3273081939337846 #440, triangle 147
0.5153926291903188 -0.01325703068192457 #441, triangle 147
-0.5480179100151285 0.062651187612726 #442, triangle 148
0.2270893017755892 -0.36594579421829326 #443, triangle 148
-0.1709428537131558 -0.302241828191321 #444, triangle 148
0.1984281730855489 0.33347559682282474 #445, triangle 149
-0.4975607942367187 -0.0003198539577675541 #446, triangle 149
-0.20156567449119173 0.33319110019571513 #447, triangle 149
0.48590848388843316 -0.02818831467214131 #448, triangle 150
-0.19061097397644697 0.34674349627053325 #449, triangle 150
0.20917369585086396 0.32018760003433544 #450, triangle 150
-0.23220030576758555 0.14228589169123787 #451, triangle 151
0.16498060626745606 0.6011209970640213 #452, triangle 151
-0.4525517382444069 -0.25043681832051534 #453, triangle 151
0.22856522789966877 -0.3353967027515685 #454, triangle 152
-0.16923796042234554 -0.3312763304503611 #455, triangle 152
-0.55100775412342 0.004592828506137148 #456, triangle 152
-0.48903776541486704 0.02777231316958837 #457, triangle 153
0.1927620049876086 -0.3465318764687164 #458, triangle 153
-0.20710935138767747 -0.32039101972460576 #459, triangle 153
0.2134847237643017 -0.3529962381695527 #460, triangle 154
-0.18604482193238975 -0.31423375818980215 #461, triangle 154
-0.5223908436241267 0.0401018154332264 #462, triangle 154
0.5236302418430948 -0.12936120476660717 #463, triangle 155
-0.2141848206975452 0.4156842275174429 #464, triangle 155
0.18529366239742856 0.26003652563181384 #465, triangle 155
-0.3215056948777562 -0.15825395577260312 #466, triangle 156
-0.345374601437434 0.23780094447741454 #467, triangle 156
0.025481968366395324 -0.5707674322758995 #468, triangle 156
0.20169008528938337 -0.3361748808057993 #469, triangle 157
-0.19830274343975418 -0.3305038460445476 #470, triangle 157
-0.5026604298102871 0.006299505014649588 #471, triangle 157
-0.1860148167242771 0.35266030423088907 #472, triangle 158
0.21351273798261383 0.3145508744889816 #473, triangle 158
0.4794080718941367 -0.039479803227407136 #474, triangle 158
-0.22849951121816167 0.35335402196877924 #475, triangle 159
0.16931416019223866 0.3138963571695713 #476, triangle 159
0.5508736908121736 -0.04076210139403502 #477, triangle 159
0.18138759201778798 -0.2878128317061895 #478, triangle 160
-0.21778486029301217 -0.3821897906260088 #479, triangle 160
0.5301334941348975 0.087486942930921 #480, triangle 160
-0.5301077387416651 -0.018441450958857162 #481, triangle 161
-0.1814029455147029 0.3248772281590506 #482, triangle 161
0.2177708412288413 0.3418980750426429 #483, triangle 161
0.1859317109510193 -0.3548392621801704 #484, triangle 162
-0.21359030809269866 -0.31249948148953355 #485, triangle 162
-0.47929280088462334 0.04347926456287367 #486, triangle 162
-0.18633009783852622 0.31298840012234014 #487, triangle 163
0.21321817428828763 0.35431868490864005 #488, triangle 163
-0.5219210828610225 -0.04253124240204641 #489, triangle 163
0.17644899744564818 -0.6589893044625504 #490, triangle 164
-0.22224147969176858 -0.11454967116168695 #491, triangle 164
-0.46663893687173075 0.27040912222084196 #492, triangle 164
-0.20683897249612185 -0.33450062876065806 #493, triangle 165
0.5110154833460957 0.0026104172886179063 #494, triangle 165
0.19304206468322535 -0.3321680782014892 #495, triangle 165
0.18221920820677426 -0.3532423514453479 #496, triangle 166
-0.2170240395370085 -0.31400162812501164 #497, triangle 166
